Nome,Endereco,Cidade,Estado,Telefone,Renda_Anual,Estado_Civil,Idade,Numero_Filhos,Tipo_Moradia,Restricoes_Alimentares,Streaming,Protetor_Solar_Diario,Visita_Praia_Mensal,Frequenta_Academia,Compra_Le_Livros_Anualmente,Quantidade_Livros_Comprados,Autor_Favorito,Email
André Monteiro,,Vieira do Amparo,,,22826.0,,,,Aluguel,Glúten,,Não,Não,Sim,Sim,6.0,Nicolas Silveira,andrmonteiro689@gemeil.com
João Guilherme Porto,"Loteamento Lima, 619",Santos do Amparo,Mato Grosso do Sul,,,Solteiro,78.0,,,,Netflix e Disney Plus,,Sim,Sim,Sim,,Sr Lucas Ribeiro,jooguilhermeporto349@exemplo.com
Augusto Rocha,"Ladeira Luana Pires, 177",Silveira de da Luz,,41 5504 8546,95433.0,,54.0,5.0,Quitada,Lactose e Glúten,,Não,,Não,Sim,3.0,Gabrielly da Mota,augustorocha201@gemeil.com
Srta Isabelly da Rocha,"Estação Olivia Dias, 777",Gonçalves do Oeste,,,,Solteiro,,1.0,Quitada,Lactose e Glúten,,Sim,,Não,Sim,,Amanda da Mota,srtaisabellydarocha503@gemeil.com
Heloísa Santos,"Praia Paulo da Rocha, 5",Aragão,Paraíba,0800 612 6032,45809.0,Viúvo,26.0,,,Lactose e Glúten,,,Não,Não,,,,helosasantos598@rotmail.com
Calebe Azevedo,"Parque Alves, 220",,Rio Grande do Norte,,,Solteiro,,,Quitada,,Globo Play,Não,Sim,,,,,calebeazevedo917@rotmail.com
Ana Alves,"Lago de Caldeira, 9",Caldeira,Paraíba,51 5882 5998,86973.0,Divorciado,18.0,,,,,Sim,Não,,,,,anaalves702@rotmail.com
Maria Fernanda Ribeiro,,Gomes dos Dourados,Pará,,48124.0,Viúvo,,3.0,De favor,,Nenhum,Não,Sim,Não,Sim,5.0,Manuela da Costa,mariafernandaribeiro421@exemplo.com
Samuel Jesus,"Condomínio Ribeiro, 55",,Bahia,,93085.0,Viúvo,52.0,,Financiamento,Nenhuma,,,Sim,Sim,,,,samueljesus456@gemeil.com
Beatriz Ramos,,Fernandes,Tocantins,+55 (021) 4719 9862,71448.0,,34.0,2.0,De favor,Nenhuma,Nenhum,Não,Sim,,,,,beatrizramos384@gemeil.com
Dr Davi Cunha,"Via de Correia, 17",Barbosa,Tocantins,(084) 0305 6725,36994.0,Viúvo,40.0,,,,Disney Plus,Sim,,Não,,,,drdavicunha261@exemplo.com
Enrico Cavalcanti,Vale Barros,,,(011) 3410 5199,,Solteiro,25.0,,De favor,,,,Sim,,,,,enricocavalcanti318@gemeil.com
Raquel Moura,"Passarela Luiza Araújo, 36",Pires de Teixeira,Pará,,,Viúvo,42.0,4.0,Quitada,Glúten,,,,Não,Não,,,raquelmoura251@gemeil.com
Lorena Cardoso,,Monteiro do Galho,Pernambuco,,92410.0,Divorciado,39.0,0.0,Quitada,Glúten,,Sim,Sim,Sim,,,,lorenacardoso729@rotmail.com
Diogo Caldeira,"Vila Kaique da Paz, 76",Novaes,,,,Casado,36.0,4.0,,Nenhuma,Netflix,Sim,Sim,,,,,diogocaldeira718@gemeil.com
Maria Gonçalves,"Vale Nogueira, 342",Moraes do Galho,,,,,47.0,,Financiamento,Nenhuma,Globo Play e Netflix e HBO e Disney Plus e Crunchyroll,Sim,,,Sim,10.0,Sr Luiz Fernando Vieira,mariagonalves175@gemeil.com
Isadora Cardoso,"Sítio Fernandes, 47",Castro,Bahia,,50056.0,,30.0,1.0,,Lactose e Glúten,Globo Play,,Sim,Sim,,,,isadoracardoso853@gemeil.com
Igor Ferreira,"Quadra de da Mata, 49",,,,77504.0,Divorciado,,2.0,Aluguel,Lactose,HBO,,Não,,,,,igorferreira546@exemplo.com
Sabrina Nunes,Quadra da Luz,Novaes da Mata,Pará,+55 51 2213 5603,56484.0,,57.0,2.0,De favor,Lactose e Glúten,HBO,Sim,Sim,,Sim,,Ana Nascimento,sabrinanunes864@exemplo.com
Pedro Miguel Silva,"Residencial de Rodrigues, 97",,Distrito Federal,,88600.0,,67.0,5.0,Quitada,,,,Não,,,,,pedromiguelsilva613@exemplo.com
Dra Clarice da Conceição,,Cavalcanti do Campo,Amazonas,+55 51 8245 2336,,Divorciado,31.0,,,,,Não,Sim,,Sim,5.0,Emilly Peixoto,draclaricedaconceio834@gemeil.com
Daniel Rodrigues,"Loteamento Mendes, 72",Sales de Rodrigues,Mato Grosso,(061) 5002 3548,76000.0,Divorciado,64.0,3.0,Quitada,Nenhuma,Globo Play,Não,,Não,Não,,,danielrodrigues211@gemeil.com
Isis Silva,"Vila da Mota, 6",da Luz da Prata,Rondônia,,61280.0,,62.0,4.0,Financiamento,,Crunchyroll,,Não,Não,Não,,,isissilva623@exemplo.com
